day,direction,protocol,state,connections
2023-01-08,outbound,udp,OTH,24763789
2023-01-08,outbound,tcp,SF,22746174
2023-01-08,outbound,tcp,SH,9454018
2023-01-08,inbound,udp,SHR,28079281
2023-01-08,outbound,tcp,RSTO,4461886
2023-01-08,outbound,tcp,RSTR,1952809
2023-01-08,internal,icmp,OTH,1939045
2023-01-08,inbound,tcp,OTH,22984889
2023-01-08,internal,udp,S0,117198
2023-01-08,internal,tcp,S0,480308
2023-01-08,internal,tcp,S1,1014
2023-01-08,inbound,udp,S0,2770084227
2023-01-08,internal,tcp,S2,1050
2023-01-08,internal,tcp,S3,859
2023-01-08,inbound,tcp,S0,982823164
2023-01-08,internal,tcp,SHR,20574
2023-01-08,inbound,tcp,S1,278298
2023-01-08,inbound,tcp,S2,220369
2023-01-08,inbound,tcp,S3,158674
2023-01-08,internal,udp,SF,222
2023-01-08,outbound,tcp,SHR,32105308
2023-01-08,internal,tcp,RSTO,1063
2023-01-08,inbound,icmp,OTH,201192752
2023-01-08,internal,tcp,RSTR,5498
2023-01-08,inbound,udp,OTH,34929034
2023-01-08,internal,tcp,SF,133339
2023-01-08,inbound,udp,SF,163030
2023-01-08,internal,tcp,SH,116640
2023-01-08,internal,tcp,REJ,1
2023-01-08,inbound,tcp,SF,10508704
2023-01-08,inbound,tcp,SH,9419010
2023-01-08,outbound,tcp,REJ,4309
2023-01-08,inbound,tcp,RSTO,1420316
2023-01-08,internal,udp,SHR,61770
2023-01-08,internal,tcp,RSTRH,3355
2023-01-08,outbound,tcp,RSTOS0,59135248
2023-01-08,inbound,tcp,RSTR,640872
2023-01-08,outbound,tcp,RSTRH,16417256
2023-01-08,outbound,udp,SHR,161476042
2023-01-08,inbound,tcp,RSTOS0,26766733
2023-01-08,internal,tcp,OTH,362265
2023-01-08,outbound,tcp,OTH,46016605
2023-01-08,outbound,udp,S0,2409858439
2023-01-08,outbound,icmp,OTH,163881715
2023-01-08,inbound,tcp,SHR,18833503
2023-01-08,internal,tcp,RSTOS0,13433
2023-01-09,inbound,tcp,RSTRH,2632474
2023-01-09,outbound,tcp,S0,120333746
2023-01-09,outbound,tcp,S1,7046344
2023-01-09,outbound,tcp,S2,3142378
2023-01-09,outbound,tcp,S3,3263403
2023-01-09,internal,udp,OTH,425
2023-01-09,inbound,tcp,REJ,29886
2023-01-09,outbound,udp,SF,2022022
2023-01-09,outbound,udp,OTH,43516367
2023-01-09,outbound,tcp,SF,32912062
2023-01-09,outbound,tcp,SH,16403492
2023-01-09,inbound,udp,SHR,18501547
2023-01-09,outbound,tcp,RSTO,7959322
2023-01-09,outbound,tcp,RSTR,3085555
2023-01-09,internal,icmp,OTH,1511377
2023-01-09,inbound,tcp,OTH,19287203
2023-01-09,internal,udp,S0,107600
2023-01-09,internal,tcp,S0,380626
2023-01-09,internal,tcp,S1,2789
2023-01-09,inbound,udp,S0,2118358043
2023-01-09,internal,tcp,S2,2049
2023-01-09,internal,tcp,S3,1085
2023-01-09,inbound,tcp,S0,759342472
2023-01-09,inbound,tcp,S1,468926
2023-01-09,internal,tcp,SHR,22726
2023-01-09,inbound,tcp,S2,472553
2023-01-09,inbound,tcp,S3,235698
2023-01-09,internal,udp,SF,1105
2023-01-09,outbound,tcp,SHR,45227701
2023-01-09,internal,tcp,RSTO,4597
2023-01-09,inbound,icmp,OTH,145129931
2023-01-09,internal,tcp,RSTR,5207
2023-01-09,inbound,udp,OTH,50753364
2023-01-09,internal,tcp,SF,108208
2023-01-09,inbound,udp,SF,608345
